path,tracked,text_lines,bytes,sha256,review_scope,method
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/inspection/InspectionModels.kt,True,91,2793,89a0072d8922cc8fbe35a4578b507fde846f267c5b1c814f3c0579332610b51c,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/inspection/SynchroInspection.kt,True,32,1290,1eab68781d50815ac02c20073fc83b7d06ef20e3330df9c25bceff34d89dc608,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/inspection/SynchroProofApi.kt,True,15,418,31c95313870c2528fc70a2806fb7f0e98356618db6a1fcb5ab29bfa9ac7bab6c,07-kotlin,full-text
clients/kotlin/synchro/src/main/kotlin/com/trainstar/synchro/inspection/TransportObservation.kt,True,360,14357,ce8387c62cfce674ffa71b6366a9c092a69b3244f7230002f6a7edf94b24aa7c,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/ApplicationSqlBoundaryTests.kt,True,266,10050,e9598b321afa982566597e7c8e17ef0b6d0ac62f16044a1569d0f361f3fcee90,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/AuthoredCaptureTests.kt,True,339,12623,848dd3a9733299b76a4a4849a6053153c008d89fadb387c772835822c473420e,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/ChangeTrackerTests.kt,True,154,7799,520281d0c7d8803178c9a100987237369962a933e4655a9258c31a1c1df273e8,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/ContractTests.kt,True,638,24888,d587c6a6df3f38847eca3cacd86489daeba1fd6295285f9c2e6d96b6c496bc35,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/DatabaseMigrationTests.kt,True,470,21250,1effe2c7a300a0a5e8298c7dcd9a5bd4574f7b3ba18fbd3c2a48447cca2ab7ff,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/HttpClientTests.kt,True,326,11534,3e607c7209ca55fee70745386b63bff184ceffc5c203f8a4bac6e91892bdba9c,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/InspectionFacadeContractTests.kt,True,130,5028,1da08cd2e67eaf670716834ac44aa4b0dc3e79a929c5004d973126c1733e3bd5,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/InspectionTests.kt,True,893,37723,fcc13fbbe4c06c345f80c85a7725c73f2f1c38bd165738b57048fe9c9a92ca40,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/IntegrationTests.kt,True,242,8673,4b0caa15a996adaf250f9428fbc9eda5011e4c6133eb9ab47c3de84a599f33a6,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/IntegrityTests.kt,True,527,21503,62074fe68c10682576143efa67c52a32c97cd68678ed26d75b82a58ee6e6603c,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/Issue49CompleteRequirementProofTests.kt,True,1349,65530,e6a14395d23e061f01c9a3cba5f0ba97b6d856456e1d3498478f490f1ae65450,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/Issue49RequirementProofTests.kt,True,1172,49491,0843eb08b0923fb198fff2fe920591fdf58775dde38ec541aa899ea6cc0b908d,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/LifecycleDurabilityTests.kt,True,538,23469,6cce67eb2787e299d896860b7026f6e5066824110ed68dd0b9b80a1fe6cf2fa3,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/PullProcessorTests.kt,True,2011,79744,2b2ea879827094dd475125155cf7c4f6bf1dbcb5d33903d98a774929a3a321da,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/PushProcessorTests.kt,True,1234,58563,94f20541be5cb941ca0eb08cc82c9c854bac09a4e6bc85ff580931088b1f055f,07-kotlin,full-text
clients/kotlin/synchro/src/test/kotlin/com/trainstar/synchro/SQLiteCompatibilityTests.kt,True,95,3069,b6991022e1795ae4485433ad92c36c2d0078f2223b537355a65f8a2c1656d284,07-kotlin,full-text
